feature,month,n,min,q1,median,q3,max,mean,std
feed_mi_pct,3,31,0.205,0.215,0.2233333333333333,0.2283333333333333,0.24,0.2223118279569892,0.009074561711228593
feed_mi_pct,4,30,0.2075,0.2140625,0.22,0.22,0.2275,0.2177083333333333,0.006194436927645222
feed_mi_pct,5,31,0.19499999999999998,0.21,0.215,0.22,0.23,0.2143548387096774,0.007609416916324908
feed_mi_pct,6,30,0.195,0.21,0.22,0.22,0.23,0.21583333333333332,0.00938481287206507
feed_mi_pct,7,31,0.205,0.215,0.22,0.2258333333333333,0.24208333333333326,0.22212365591397842,0.009407416079874449
feed_mi_pct,8,31,0.205,0.21533333333333332,0.22,0.22266666666666668,0.23,0.2190322580645161,0.005234751993637
feed_mi_pct,10,31,0.2125,0.218125,0.22,0.225,0.23,0.22044354838709676,0.005047156657225982
feed_mi_pct,11,30,0.2,0.215,0.22,0.22499999999999998,0.23999999999999994,0.21933333333333327,0.010964938898939243
feed_mi_pct,12,31,0.19875000000000004,0.215,0.22,0.2258333333333333,0.235,0.21987903225806452,0.008874897983494978
feed_iv,1,31,52.0,52.0625,52.129999999999995,52.185,52.375,52.133763440860214,0.10009622013614537
feed_iv,2,28,52.07,52.14750000000001,52.195,52.2625,52.364999999999995,52.20690476190477,0.0832934648898507
feed_iv,3,31,52.065,52.22916666666666,52.31,52.41333333333333,52.68958333333333,52.330900537634406,0.15752425212950735
feed_iv,4,30,52.335,52.5925,52.74,53.002500000000005,53.349999999999994,52.799333333333344,0.27019384271977426
feed_iv,5,31,52.28,52.47749999999999,52.55,52.63,52.735,52.54661290322581,0.11260097022061434
feed_iv,6,30,52.31562499999999,52.47125,52.510000000000005,52.575,52.675,52.514687499999994,0.0911511554275428
feed_iv,7,31,52.25625000000001,52.447500000000005,52.515,52.575,52.685,52.507395161290326,0.0950981850504008
feed_iv,8,31,52.28249999999999,52.515,52.57666666666667,52.60483333333334,52.75,52.55653225806451,0.09102525513767898
feed_iv,10,31,52.465,52.61,52.754999999999995,52.839999999999996,53.025,52.736532258064514,0.14202798641370204
feed_iv,11,30,52.34,52.5925,52.72875,52.845,52.95,52.72383333333333,0.1526373509975198
feed_iv,12,31,52.78833333333334,52.873333333333335,52.905,52.93,53.015,52.902715053763444,0.05802935389937038
feed_p_ppm,1,31,26.9,28.55,30.1,33.4,42.5125,31.632661290322577,4.422968786887937
feed_p_ppm,2,28,22.9,28.625,31.15,32.725,38.875,30.991964285714285,4.011113343940372
feed_p_ppm,3,31,25.7,29.25,30.6,32.849999999999994,37.3,31.048387096774185,2.4234783497749586
feed_p_ppm,4,30,21.7,26.0,29.2,33.5,36.4,29.361666666666665,4.3549354350757215
feed_p_ppm,5,31,22.1,25.75,27.2,29.85,36.0,27.81612903225807,3.0451159555582934
feed_p_ppm,6,30,22.2,25.075,27.5,28.7,34.1375,27.23125,2.972283514201346
feed_p_ppm,7,31,16.5,22.25,23.2,26.25,31.3,23.97096774193549,3.3035529911886377
feed_p_ppm,8,31,18.4,20.7,21.7,22.4,24.2,21.548387096774192,1.3812725938404136
feed_p_ppm,10,31,23.8,25.2,26.9,28.15,32.325,26.988306451612896,2.1666721205473127
feed_p_ppm,11,30,24.35,27.912499999999998,29.0,33.9625,37.9,30.611,3.9291758809511537
feed_p_ppm,12,31,26.0,27.799999999999997,30.9,32.65,36.2,30.60322580645161,2.909350886477113
rbd_p_ppm,1,31,0.9,1.55,2.3,2.95,3.8,2.2806451612903222,0.7943212426714646
rbd_p_ppm,2,28,0.4,0.8,1.2,1.45,2.425,1.1910714285714286,0.5220620743971061
rbd_p_ppm,3,31,0.3,0.6,0.8,1.15,1.8,0.9000000000000001,0.45240100206196127
rbd_p_ppm,4,30,0.2,0.4,0.6,0.975,1.9,0.7833333333333333,0.49206344792273404
rbd_p_ppm,5,31,0.2,0.8500000000000001,1.6,2.3,3.2,1.6741935483870969,0.8932964203575743
rbd_p_ppm,6,30,1.7,2.3,2.75,2.975,3.9875000000000007,2.6462499999999998,0.5407843720642873
rbd_p_ppm,7,31,1.2,1.9,2.3,2.6500000000000004,3.3,2.2774193548387096,0.54815428328124
rbd_p_ppm,8,31,1.6500000000000004,2.2033333333333336,2.2533333333333334,2.3,2.8499999999999996,2.2467741935483874,0.24527457610237202
rbd_p_ppm,10,31,1.4,2.1,2.4,3.1500000000000004,4.750000000000001,2.5983870967741933,0.7385214814036378
rbd_p_ppm,11,30,1.9124999999999994,2.925,3.3499999999999996,3.6,4.612500000000001,3.2441666666666666,0.5817420825200055
rbd_p_ppm,12,31,1.9,2.6,3.0,3.3499999999999996,4.2,3.048387096774193,0.553094909120147
